,image,segmentation,orientation_img,orientation_seg
1,"((512, 229), (0.9765625, 0.9765625, 2.0))","((512, 229), (0.9765625, 0.9765625, 2.0))","('L', 'P', 'S')","('L', 'P', 'S')"
2,"((512, 246), (0.976562, 0.976562, 2.5))","((512, 246), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
3,"((512, 147), (0.976562, 0.976562, 2.5))","((512, 147), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
4,"((512, 158), (0.976562, 0.976562, 2.5))","((512, 158), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
5,"((512, 284), (0.9765625, 0.9765625, 2.0))","((512, 284), (0.9765625, 0.9765625, 2.0))","('L', 'P', 'S')","('L', 'P', 'S')"
6,"((512, 199), (0.976562, 0.976562, 2.5))","((512, 199), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
7,"((512, 179), (0.9765625, 0.9765625, 2.0))","((512, 179), (0.9765625, 0.9765625, 2.0))","('L', 'P', 'S')","('L', 'P', 'S')"
8,"((512, 171), (0.976562, 0.976562, 2.5))","((512, 171), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
9,"((512, 154), (0.976562, 0.976562, 2.5))","((512, 154), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
10,"((512, 163), (0.9765625, 0.9765625, 2.0))","((512, 163), (0.9765625, 0.9765625, 2.0))","('L', 'P', 'S')","('L', 'P', 'S')"
11,"((512, 180), (1.269531, 1.269531, 2.5))","((512, 180), (1.269531, 1.269531, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
12,"((512, 171), (0.9765625, 0.9765625, 2.0))","((512, 171), (0.9765625, 0.9765625, 2.0))","('L', 'P', 'S')","('L', 'P', 'S')"
13,"((512, 228), (0.9765625, 0.9765625, 2.0))","((512, 228), (0.9765625, 0.9765625, 2.0))","('L', 'P', 'S')","('L', 'P', 'S')"
14,"((512, 162), (0.976562, 0.976562, 2.5))","((512, 162), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
15,"((512, 150), (0.896484, 0.896484, 2.5))","((512, 150), (0.896484, 0.896484, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
16,"((512, 166), (0.976562, 0.976562, 2.5))","((512, 166), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
17,"((512, 166), (0.976562, 0.976562, 2.5))","((512, 166), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
18,"((512, 183), (0.976562, 0.976562, 2.5))","((512, 183), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
19,"((512, 190), (0.976562, 0.976562, 2.5))","((512, 190), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
20,"((512, 206), (1.367188, 1.367188, 2.5))","((512, 206), (1.367188, 1.367188, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
21,"((512, 158), (0.976562, 0.976562, 2.5))","((512, 158), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
22,"((512, 181), (0.976562, 0.976562, 2.5))","((512, 181), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
23,"((512, 153), (0.976562, 0.976562, 2.5))","((512, 153), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
24,"((512, 168), (0.976562, 0.976562, 2.5))","((512, 168), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
25,"((512, 150), (0.976562, 0.976562, 2.5))","((512, 150), (0.976562, 0.976562, 2.5))","('L', 'P', 'S')","('L', 'P', 'S')"
